HTML,Tree,AltText,Source,SourceSet,Name,Type,Parent Link,Extension
"<img alt=""Allegheny Analytics"" class=""custom-logo"" decoding=""async"" fetchpriority=""high"" height=""156"" sizes=""(max-width: 774px) 100vw, 774px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png 774w, https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-300x60.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-768x155.png 768w"" width=""774""/>",['https://analytics.alleghenycounty.us/'],Allegheny Analytics,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png 774w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-300x60.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-768x155.png 768w']",logo.png,,https://analytics.alleghenycounty.us/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""1516"" sizes=""(max-width: 2560px) 100vw, 2560px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png 2560w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-300x178.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1024x606.png 1024w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-768x455.png 768w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1536x909.png 1536w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-2048x1213.png 2048w"" width=""2560""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png 2560w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-300x178.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1024x606.png 1024w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-768x455.png 768w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1536x909.png 1536w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-2048x1213.png 2048w']",Cityscape-scaled.png,Featured,https://analytics.alleghenycounty.us/2026/05/28/dhs-initiatives-and-accomplishments/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""712"" sizes=""(max-width: 917px) 100vw, 917px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png 917w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-300x233.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-768x596.png 768w"" width=""917""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png 917w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-300x233.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-768x596.png 768w']",26-ACDHS-06-CommunityCounts-Cards_Page_3.png,Featured,https://analytics.alleghenycounty.us/2026/05/18/point-in-time-count-of-people-experiencing-homelessness/,.png
"<img class=""h-12 block mx-auto"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/qc_logo.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/qc_logo.svg,,qc_logo.svg,,https://analytics.alleghenycounty.us/quickcount-data-tool/,.svg
"<img class=""h-12 block mx-auto"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/hscp_logo.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/hscp_logo.svg,,hscp_logo.svg,,https://analytics.alleghenycounty.us/human-services-community-profile-2/,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/children-1.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/children-1.svg,,children-1.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/community-well-being.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/community-well-being.svg,,community-well-being.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/crime-justice.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/crime-justice.svg,,crime-justice.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/innovation-reform.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/innovation-reform.svg,,innovation-reform.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/education-and-early-childhood.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/education-and-early-childhood.svg,,education-and-early-childhood.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/housing.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/housing.svg,,housing.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/innovation-reform.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/innovation-reform.svg,,innovation-reform.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/older-adults.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/older-adults.svg,,older-adults.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/substance-abuse-mental-health.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/substance-abuse-mental-health.svg,,substance-abuse-mental-health.svg,,,.svg
"<img class=""h-20"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/all-work-1.svg""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/all-work-1.svg,,all-work-1.svg,,,.svg
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""1516"" sizes=""(max-width: 2560px) 100vw, 2560px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png 2560w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-300x178.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1024x606.png 1024w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-768x455.png 768w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1536x909.png 1536w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-2048x1213.png 2048w"" width=""2560""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png 2560w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-300x178.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1024x606.png 1024w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-768x455.png 768w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1536x909.png 1536w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-2048x1213.png 2048w']",Cityscape-scaled.png,Featured,https://analytics.alleghenycounty.us/2026/05/28/dhs-initiatives-and-accomplishments/,.png
