HTML,URL,Tree,Text,Extension,IsNav,Type
"<a class=""flex w-full py-2 text-lg font-medium px-6"" href=""/""> Home </a>",/,['https://analytics.alleghenycounty.us/'], Home ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/children-youth-and-families/""> Children, Youth and Families </a>",https://analytics.alleghenycounty.us/topics/children-youth-and-families/,['https://analytics.alleghenycounty.us/']," Children, Youth and Families ",,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/community-and-economic-stability/""> Community and Economic Stability </a>",https://analytics.alleghenycounty.us/topics/community-and-economic-stability/,['https://analytics.alleghenycounty.us/'], Community and Economic Stability ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/crime-and-justice/""> Crime and Justice </a>",https://analytics.alleghenycounty.us/topics/crime-and-justice/,['https://analytics.alleghenycounty.us/'], Crime and Justice ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/data-driven-models/""> Data Driven Models </a>",https://analytics.alleghenycounty.us/topics/data-driven-models/,['https://analytics.alleghenycounty.us/'], Data Driven Models ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/education-and-early-childhood/""> Education and Early Childhood </a>",https://analytics.alleghenycounty.us/topics/education-and-early-childhood/,['https://analytics.alleghenycounty.us/'], Education and Early Childhood ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/housing-and-basic-needs/""> Housing and Basic Needs </a>",https://analytics.alleghenycounty.us/topics/housing-and-basic-needs/,['https://analytics.alleghenycounty.us/'], Housing and Basic Needs ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/innovation-and-reform/""> Innovation and Reform </a>",https://analytics.alleghenycounty.us/topics/innovation-and-reform/,['https://analytics.alleghenycounty.us/'], Innovation and Reform ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/older-adults/""> Older Adults </a>",https://analytics.alleghenycounty.us/topics/older-adults/,['https://analytics.alleghenycounty.us/'], Older Adults ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/topics/substance-use-and-mental-health/""> Substance Use and Mental Health </a>",https://analytics.alleghenycounty.us/topics/substance-use-and-mental-health/,['https://analytics.alleghenycounty.us/'], Substance Use and Mental Health ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/work/""> All Work </a>",https://analytics.alleghenycounty.us/work/,['https://analytics.alleghenycounty.us/'], All Work ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/content-types/dashboards/""> Dashboards </a>",https://analytics.alleghenycounty.us/content-types/dashboards/,['https://analytics.alleghenycounty.us/'], Dashboards ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/content-types/datasets/""> Datasets </a>",https://analytics.alleghenycounty.us/content-types/datasets/,['https://analytics.alleghenycounty.us/'], Datasets ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/content-types/infographics/""> Infographics </a>",https://analytics.alleghenycounty.us/content-types/infographics/,['https://analytics.alleghenycounty.us/'], Infographics ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/content-types/reports/""> Reports </a>",https://analytics.alleghenycounty.us/content-types/reports/,['https://analytics.alleghenycounty.us/'], Reports ,,Yes,
"<a class=""flex w-full"" href=""https://analytics.alleghenycounty.us/work/""> All Content Types </a>",https://analytics.alleghenycounty.us/work/,['https://analytics.alleghenycounty.us/'], All Content Types ,,Yes,
