URL,Tree,Type,PostId,PostName,DatePublished,Extension
https://analytics.alleghenycounty.us/,['https://analytics.alleghenycounty.us/'],Page,,,,
https://analytics.alleghenycounty.us/topics/children-youth-and-families/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",Page,,,,
https://analytics.alleghenycounty.us/topics/community-and-economic-stability/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/community-and-economic-stability/']",Page,,,,
https://analytics.alleghenycounty.us/topics/crime-and-justice/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/crime-and-justice/']",Page,,,,
https://analytics.alleghenycounty.us/topics/data-driven-models/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/data-driven-models/']",Page,,,,
https://analytics.alleghenycounty.us/topics/education-and-early-childhood/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/education-and-early-childhood/']",Page,,,,
https://analytics.alleghenycounty.us/topics/housing-and-basic-needs/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/housing-and-basic-needs/']",Page,,,,
https://analytics.alleghenycounty.us/topics/innovation-and-reform/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/innovation-and-reform/']",Page,,,,
https://analytics.alleghenycounty.us/topics/older-adults/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/older-adults/']",Page,,,,
https://analytics.alleghenycounty.us/topics/substance-use-and-mental-health/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/substance-use-and-mental-health/']",Page,,,,
https://analytics.alleghenycounty.us/work/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/work/']",Page,,,,
https://analytics.alleghenycounty.us/content-types/dashboards/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/content-types/dashboards/']",Page,,,,
https://analytics.alleghenycounty.us/content-types/datasets/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/content-types/datasets/']",Page,,,,
https://analytics.alleghenycounty.us/content-types/infographics/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/content-types/infographics/']",Page,,,,
https://analytics.alleghenycounty.us/content-types/reports/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/content-types/reports/']",Page,,,,
https://analytics.alleghenycounty.us/quickcount-data-tool/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/quickcount-data-tool/']",Page,,,,
https://analytics.alleghenycounty.us/human-services-community-profile-2/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/human-services-community-profile-2/']",Page,,,,
https://analytics.alleghenycounty.us/provider-tools/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/provider-tools/']",Page,,,,
https://analytics.alleghenycounty.us/requesting-data/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/requesting-data/']",Page,,,,
https://analytics.alleghenycounty.us/research-working-papers/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/research-working-papers/']",Page,,,,
https://analytics.alleghenycounty.us/about/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/about/']",Page,,,,
https://analytics.alleghenycounty.us/contact-us/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/contact-us/']",Page,,,,
https://analytics.alleghenycounty.us/faq-about-data-sources/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/faq-about-data-sources/']",Page,,,,
https://analytics.alleghenycounty.us/faq-about-data-sources,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/faq-about-data-sources']",Page,,,,
https://analytics.alleghenycounty.us/2026/05/28/dhs-initiatives-and-accomplishments/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/2026/05/28/dhs-initiatives-and-accomplishments/']",Post,7311,Initiatives and Accomplishments,"May 28, 2026",
https://analytics.alleghenycounty.us/content-types/reports/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/content-types/reports/ ']",Page,,,,
https://analytics.alleghenycounty.us/2026/05/18/point-in-time-count-of-people-experiencing-homelessness/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/2026/05/18/point-in-time-count-of-people-experiencing-homelessness/']",Post,9449,Community Counts: Annual Point-in-Time Estimate of People Experiencing Homelessness,"May 18, 2026",
https://analytics.alleghenycounty.us/content-types/dashboards/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/content-types/dashboards/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/basic-needs/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/basic-needs/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/community-counts/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/community-counts/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/homelessness/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/homelessness/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/point-in-time/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/point-in-time/ ']",Page,,,,
https://analytics.alleghenycounty.us/work,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/work']",Page,,,,
https://analytics.alleghenycounty.us/2026/05/07/resources-on-unsheltered-homelessness/,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/2026/05/07/resources-on-unsheltered-homelessness/']",Post,9484,Resources on Unsheltered Homelessness,"May 7, 2026",
https://analytics.alleghenycounty.us/tag/outreach/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/outreach/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/shelter/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/shelter/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/tents/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/tents/ ']",Page,,,,
https://analytics.alleghenycounty.us/tag/unsheltered/ ,"['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/tag/unsheltered/ ']",Page,,,,
